time,device_id,temperature_1,temperature_2,temperature_3,humidity,light_cycle_duration,temp_change_1,temp_change_2,temp_change_3,humidity_change
2024-07-25T08:28:19.384086858Z,eui-a8610a343237920e,7.3,8.1,4.2,79.5,,,,,
2024-07-25T08:30:40.461795695Z,eui-a8610a343237920e,7.6,8.1,4.4,79.5,,,,,
2024-07-25T09:04:46.012876964Z,eui-a8610a343237920e,8.2,9.2,4.9,80,,,,,
2024-07-25T09:10:57.261414298Z,eui-a8610a343237920e,8.5,9.2,5.3,80,,,,,
2024-07-25T09:34:50.191522629Z,eui-a8610a343237920e,8.9,9.4,5.6,79.5,,,,,
2024-07-25T09:51:02.748563523Z,eui-a8610a343237920e,7,9.7,4,76,,,,,
2024-07-25T10:28:36.724263379Z,eui-a8610a343237920e,7.3,8.4,2.6,87.5,,,,,
2024-07-25T10:36:17.117138133Z,eui-a8610a343237920e,7.3,8.4,2.2,87.5,,,,,
2024-07-25T11:12:33.472027405Z,eui-a8610a343237920e,7.3,7.8,1.6,87.5,,,,,
2024-07-25T11:41:20.400962541Z,eui-a8610a343237920e,7.1,8.1,3.9,74,,,,,
2024-07-25T11:51:22.993170228Z,eui-a8610a343237920e,7.4,8.1,4.2,75,,,,,
2024-07-25T12:28:55.887500768Z,eui-a8610a343237920e,9.3,9.8,5.5,99.5,21,2.6,,0.9,23.5
2024-07-25T12:55:09.798238877Z,eui-a8610a343237920e,8.9,9.4,4,86.5,,,,,
2024-07-25T13:05:11.330287041Z,eui-a8610a343237920e,8.9,9.4,3.3,86.5,,,,,
2024-07-25T13:11:22.677731572Z,eui-a8610a343237920e,8.9,8.9,2.8,86.5,,,,,
2024-07-25T13:32:28.898872057Z,eui-a8610a343237920e,8.7,10.8,3.7,99.5,11,,,,
2024-07-25T13:42:54.794411248Z,eui-a8610a343237920e,6.6,9.5,3,99.5,,,,,
2024-07-25T13:52:28.691309663Z,eui-a8610a343237920e,10.9,10.2,3.7,97,10,,,,
2024-07-25T14:02:29.673569518Z,eui-a8610a343237920e,7.1,9.1,2.7,91.5,,,,,
2024-07-25T14:12:30.66005829Z,eui-a8610a343237920e,7.1,9,2.4,91.5,,,,,
2024-07-25T14:32:16.490335298Z,eui-a8610a343237920e,7.1,8.5,2.2,91.5,,,,,
2024-07-25T14:39:56.862911243Z,eui-a8610a343237920e,7.1,8.3,2,91.5,,,,,
2024-07-25T14:47:37.303085563Z,eui-a8610a343237920e,7.1,8.1,1.9,91.5,,,,,
2024-07-25T14:52:45.899915195Z,eui-a8610a343237920e,7.1,8.2,2.7,91.5,,,,,
2024-07-25T15:06:25.124172063Z,eui-a8610a343237920e,7.1,8.4,3.6,91.5,,,,,
2024-07-25T15:16:26.079691973Z,eui-a8610a343237920e,7.1,8.4,4,91.5,,,,,
2024-07-25T15:22:47.796166311Z,eui-a8610a343237920e,7.1,8.4,4.3,91.5,,,,,
2024-07-25T15:32:48.684613077Z,eui-a8610a343237920e,7.1,8.4,4.6,91.5,,,,,
2024-07-25T15:42:38.503095176Z,eui-a8610a343237920e,7.1,8.4,4.8,91.5,,,,,
2024-07-25T15:52:47.260872192Z,eui-a8610a343237920e,7.1,8.4,5.1,91.5,,,,,
2024-07-25T16:04:43.473433947Z,eui-a8610a343237920e,10.7,11.4,6.2,99.5,,,,,
2024-07-25T17:12:53.974720414Z,eui-a8610a343237920e,7.9,9,2.6,86,,,,,
2024-07-25T18:10:37.177098409Z,eui-a8610a343237920e,7.9,8.5,2,86,,,,,
2024-07-25T18:18:18.578455704Z,eui-a8610a343237920e,7.9,8.5,1.9,86,,,,,
2024-07-25T18:34:17.438538645Z,eui-a8610a343237920e,7.9,8.4,1.8,86,,,,,
2024-07-25T18:46:37.062544608Z,eui-a8610a343237920e,7.9,8.4,1.8,86,,,,,
2024-07-25T18:52:46.927958473Z,eui-a8610a343237920e,7.9,8.2,1.7,86,,,,,
2024-07-25T19:02:46.95478669Z,eui-a8610a343237920e,7.9,8.1,1.6,86,,,,,
